[Wed Apr 05 12:22:58.363431 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  45. Illuminate\\Routing\\Router->Illuminate\\Routing\\{closure}() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363439 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  46. Illuminate\\Routing\\Router->prepareResponse() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Router.php:560, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363445 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  47. Symfony\\Component\\HttpFoundation\\Response->__construct() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Routing/Router.php:602, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363451 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  48. Illuminate\\Http\\Response->setContent() /home/serg/site/open_service/vendor/symfony/http-foundation/Response.php:225, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363457 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  49. Illuminate\\View\\View->render() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/Http/Response.php:38, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363470 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  50. Illuminate\\View\\View->renderContents() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/View/View.php:85, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363475 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  51. Illuminate\\View\\View->getContents() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/View/View.php:120, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363482 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  52. Illuminate\\View\\Engines\\CompilerEngine->get() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/View/View.php:137, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363488 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  53. Illuminate\\View\\Engines\\PhpEngine->evaluatePath() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/View/Engines/CompilerEngine.php:59, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363494 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  54. include() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/View/Engines/PhpEngine.php:42, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363500 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  55. Illuminate\\View\\View->render() /home/serg/site/open_service/storage/framework/views/b256f122e3335dfecc68f993bc27d9d30660a4ec.php:4, referer: http://openit.tes/admin/events
[Wed Apr 05 12:22:58.363507 2017] [:error] [pid 2398] [client 127.0.0.1:45956] PHP  56. Illuminate\\View\\View->renderContents() /home/serg/site/open_service/vendor/laravel/framework/src/Illuminate/View/View.php:85, referer: http://openit.tes/admin/events
